timestamp,device_id,seq_num,msg_type,temperature,humidity
2025-12-04 01:51:53,1001,1,DATA,21.49,63.1
2025-12-04 01:51:54,1001,2,DATA,22.54,58.33
2025-12-04 01:51:55,1001,3,DATA,22.53,56.93
2025-12-04 01:51:56,1001,4,DATA,19.56,60.9
2025-12-04 01:51:57,1001,5,DATA,23.05,46.75
2025-12-04 01:51:58,1001,6,DATA,22.75,48.14
2025-12-04 01:51:59,1001,7,DATA,22.77,57.99
2025-12-04 01:52:00,1001,8,DATA,23.0,48.36
2025-12-04 01:52:01,1001,9,DATA,22.41,63.0
2025-12-04 01:52:02,1001,10,DATA,23.97,57.76
2025-12-04 01:52:03,1001,11,DATA,21.28,50.87
2025-12-04 01:52:04,1001,12,DATA,21.84,51.13
2025-12-04 01:52:05,1001,13,DATA,19.16,46.02
2025-12-04 01:52:06,1001,14,DATA,19.12,50.35
2025-12-04 01:52:07,1001,15,DATA,22.58,64.96
2025-12-04 01:52:08,1001,16,DATA,19.3,53.53
2025-12-04 01:52:09,1001,17,DATA,19.08,46.36
2025-12-04 01:52:10,1001,18,DATA,24.77,59.03
2025-12-04 01:52:11,1001,19,DATA,24.12,64.47
2025-12-04 01:52:12,1001,20,DATA,19.23,60.54
2025-12-04 01:52:13,1001,21,DATA,20.83,47.4
2025-12-04 01:52:14,1001,22,DATA,21.62,51.05
2025-12-04 01:52:15,1001,23,DATA,24.85,49.21
2025-12-04 01:52:16,1001,24,DATA,20.24,57.33
2025-12-04 01:52:17,1001,25,DATA,23.09,51.75
2025-12-04 01:52:18,1001,26,DATA,20.18,57.85
2025-12-04 01:52:19,1001,27,DATA,24.03,55.15
2025-12-04 01:52:20,1001,28,DATA,23.4,56.55
2025-12-04 01:52:21,1001,29,DATA,24.08,63.47
2025-12-04 01:51:53,1001,1,DATA,21.49,63.1
2025-12-04 01:51:54,1001,2,DATA,22.54,58.33
2025-12-04 01:51:55,1001,3,DATA,22.53,56.93
2025-12-04 01:51:56,1001,4,DATA,19.56,60.9
2025-12-04 01:51:57,1001,5,DATA,23.05,46.75
