timestamp,device_id,seq_num,msg_type,temperature,humidity,duplicate_flag,gap_flag,retransmit_flag,packet_bytes
2025-12-24 21:14:47,1001,1,DATA,22.05,57.8,0,0,0,50
2025-12-24 21:14:48,1001,2,DATA,19.71,57.64,0,0,0,51
2025-12-24 21:14:49,1001,3,DATA,22.26,59.03,0,0,0,51
2025-12-24 21:14:50,1001,4,DATA,23.08,59.86,0,0,0,51
2025-12-24 21:14:51,1001,5,DATA,21.19,46.61,0,0,0,51
2025-12-24 21:14:52,1001,6,DATA,22.48,47.88,0,0,0,51
2025-12-24 21:14:53,1001,7,DATA,24.2,58.27,0,0,0,50
2025-12-24 21:14:54,1001,8,DATA,23.35,50.95,0,0,0,51
2025-12-24 21:14:55,1001,9,DATA,24.03,52.43,0,0,0,51
2025-12-24 21:14:56,1001,10,DATA,22.6,47.97,0,0,0,50
2025-12-24 21:14:57,1001,11,DATA,20.12,58.22,0,0,0,51
2025-12-24 21:14:58,1001,12,DATA,23.33,46.34,0,0,0,51
2025-12-24 21:14:59,1001,13,DATA,21.3,64.49,0,0,0,50
2025-12-24 21:15:00,1001,14,DATA,24.65,46.19,0,0,0,51
2025-12-24 21:15:01,1001,15,DATA,20.95,56.45,0,0,0,51
2025-12-24 21:15:02,1001,16,DATA,23.03,45.82,0,0,0,51
2025-12-24 21:15:03,1001,17,DATA,20.5,60.29,0,0,0,50
2025-12-24 21:15:04,1001,18,DATA,20.7,51.62,0,0,0,50
2025-12-24 21:15:05,1001,19,DATA,22.4,52.34,0,0,0,50
2025-12-24 21:15:06,1001,20,DATA,23.37,48.61,0,0,0,51
2025-12-24 21:15:07,1001,21,DATA,24.89,62.56,0,0,0,51
2025-12-24 21:15:08,1001,22,DATA,19.49,59.01,0,0,0,51
2025-12-24 21:15:09,1001,23,DATA,23.06,59.68,0,0,0,51
2025-12-24 21:15:10,1001,24,DATA,23.41,57.62,0,0,0,51
2025-12-24 21:15:11,1001,25,DATA,19.25,60.35,0,0,0,51
2025-12-24 21:15:12,1001,26,DATA,23.61,49.7,0,0,0,50
2025-12-24 21:15:13,1001,27,DATA,20.41,49.97,0,0,0,51
2025-12-24 21:15:14,1001,28,DATA,24.17,55.68,0,0,0,51
2025-12-24 21:15:15,1001,29,DATA,19.68,52.26,0,0,0,51
2025-12-24 21:15:16,1001,30,DATA,21.54,45.7,0,0,0,50
2025-12-24 21:15:17,1001,31,DATA,23.11,57.64,0,0,0,51
2025-12-24 21:15:18,1001,32,DATA,20.25,59.12,0,0,0,51
2025-12-24 21:15:19,1001,33,DATA,20.59,47.75,0,0,0,51
2025-12-24 21:15:20,1001,34,DATA,23.88,50.16,0,0,0,51
2025-12-24 21:15:21,1001,35,DATA,19.65,64.18,0,0,0,51
2025-12-24 21:15:22,1001,36,DATA,22.27,49.81,0,0,0,51
2025-12-24 21:15:23,1001,37,DATA,19.34,52.83,0,0,0,51
2025-12-24 21:15:24,1001,38,DATA,21.33,59.93,0,0,0,51
2025-12-24 21:15:25,1001,39,DATA,20.56,46.47,0,0,0,51
2025-12-24 21:15:26,1001,40,DATA,24.63,64.72,0,0,0,51
