timestamp,device_id,seq_num,msg_type,temperature,humidity,duplicate_flag,gap_flag,retransmit_flag,packet_bytes
2025-12-12 06:01:28,1001,1,DATA,24.85,61.79,0,0,0,51
2025-12-12 06:01:29,1001,2,DATA,22.73,45.82,0,0,0,51
2025-12-12 06:01:30,1001,3,DATA,21.18,46.7,0,0,0,50
2025-12-12 06:01:31,1001,4,DATA,21.64,49.34,0,0,0,51
2025-12-12 06:01:32,1001,5,DATA,23.18,47.52,0,0,0,51
2025-12-12 06:01:33,1001,6,DATA,24.68,58.01,0,0,0,51
2025-12-12 06:01:34,1001,7,DATA,24.06,46.79,0,0,0,51
2025-12-12 06:01:35,1001,8,DATA,24.92,47.16,0,0,0,51
2025-12-12 06:01:36,1001,9,DATA,21.75,60.59,0,0,0,51
2025-12-12 06:01:37,1001,10,DATA,23.73,48.09,0,0,0,51
2025-12-12 06:01:38,1001,11,DATA,22.5,54.82,0,0,0,50
2025-12-12 06:01:39,1001,12,DATA,24.42,47.78,0,0,0,51
2025-12-12 06:01:40,1001,13,DATA,24.03,46.35,0,0,0,51
2025-12-12 06:01:41,1001,14,DATA,22.5,58.09,0,0,0,50
2025-12-12 06:01:42,1001,15,DATA,19.87,63.91,0,0,0,51
2025-12-12 06:01:43,1001,16,DATA,21.93,60.27,0,0,0,51
2025-12-12 06:01:44,1001,17,DATA,21.15,59.74,0,0,0,51
2025-12-12 06:01:45,1001,18,DATA,20.05,53.97,0,0,0,51
2025-12-12 06:01:46,1001,19,DATA,19.08,47.91,0,0,0,51
2025-12-12 06:01:47,1001,20,DATA,20.87,51.69,0,0,0,51
2025-12-12 06:01:48,1001,21,DATA,20.26,52.38,0,0,0,51
2025-12-12 06:01:49,1001,22,DATA,22.34,56.76,0,0,0,51
2025-12-12 06:01:50,1001,23,DATA,19.24,49.53,0,0,0,51
2025-12-12 06:01:51,1001,24,DATA,21.52,55.18,0,0,0,51
2025-12-12 06:01:52,1001,25,DATA,22.32,52.21,0,0,0,51
2025-12-12 06:01:53,1001,26,DATA,22.24,53.88,0,0,0,51
2025-12-12 06:01:54,1001,27,DATA,23.51,61.16,0,0,0,51
2025-12-12 06:01:55,1001,28,DATA,24.33,64.33,0,0,0,51
2025-12-12 06:01:56,1001,29,DATA,20.8,53.72,0,0,0,50
2025-12-12 06:01:57,1001,30,DATA,20.24,58.13,0,0,0,51
2025-12-12 06:01:58,1001,31,DATA,20.11,62.34,0,0,0,51
2025-12-12 06:01:59,1001,32,DATA,21.68,62.01,0,0,0,51
2025-12-12 06:02:00,1001,33,DATA,24.37,59.54,0,0,0,51
2025-12-12 06:02:01,1001,34,DATA,20.36,50.43,0,0,0,51
2025-12-12 06:02:02,1001,35,DATA,24.39,57.53,0,0,0,51
2025-12-12 06:02:03,1001,36,DATA,20.53,50.19,0,0,0,51
2025-12-12 06:02:04,1001,37,DATA,23.27,61.41,0,0,0,51
2025-12-12 06:02:05,1001,38,DATA,19.42,55.65,0,0,0,51
2025-12-12 06:02:06,1001,39,DATA,23.33,51.96,0,0,0,51
2025-12-12 06:02:07,1001,40,DATA,19.79,64.93,0,0,0,51
2025-12-12 06:02:08,1001,41,DATA,20.33,61.03,0,0,0,51
2025-12-12 06:02:09,1001,42,DATA,21.31,45.25,0,0,0,51
2025-12-12 06:02:10,1001,43,DATA,19.0,47.56,0,0,0,50
2025-12-12 06:02:11,1001,44,DATA,20.17,64.86,0,0,0,51
2025-12-12 06:02:12,1001,45,DATA,23.08,61.1,0,0,0,50
2025-12-12 06:02:13,1001,46,DATA,19.44,61.91,0,0,0,51
2025-12-12 06:02:14,1001,47,DATA,19.75,53.36,0,0,0,51
2025-12-12 06:02:15,1001,48,DATA,20.54,53.25,0,0,0,51
2025-12-12 06:02:16,1001,49,DATA,24.26,48.73,0,0,0,51
2025-12-12 06:02:17,1001,50,DATA,22.03,58.38,0,0,0,51
2025-12-12 06:02:18,1001,51,DATA,20.74,54.22,0,0,0,51
2025-12-12 06:02:19,1001,52,DATA,23.83,45.33,0,0,0,51
2025-12-12 06:02:20,1001,53,DATA,23.43,47.78,0,0,0,51
2025-12-12 06:02:21,1001,54,DATA,19.33,61.99,0,0,0,51
2025-12-12 06:02:22,1001,55,DATA,22.65,62.62,0,0,0,51
2025-12-12 06:02:23,1001,56,DATA,19.32,59.68,0,0,0,51
2025-12-12 06:02:24,1001,57,DATA,24.62,45.5,0,0,0,50
2025-12-12 06:02:25,1001,58,DATA,23.33,57.09,0,0,0,51
2025-12-12 06:02:26,1001,59,DATA,21.92,57.59,0,0,0,51
2025-12-12 06:02:38,1002,1,BATCH_DATA,21.55,45.96,0,0,0,113
2025-12-12 06:02:38,1002,2,BATCH_DATA,23.03,53.13,0,0,0,113
2025-12-12 06:02:38,1002,3,BATCH_DATA,21.37,51.78,0,0,0,164
2025-12-12 06:02:38,1002,4,BATCH_DATA,21.43,62.57,0,0,0,164
2025-12-12 06:02:38,1002,5,BATCH_DATA,23.56,64.77,0,0,0,164
2025-12-12 06:02:43,1002,6,BATCH_DATA,24.16,61.67,0,0,0,113
2025-12-12 06:02:43,1002,7,BATCH_DATA,23.59,55.05,0,0,0,113
2025-12-12 06:02:43,1002,8,BATCH_DATA,20.67,50.54,0,0,0,165
2025-12-12 06:02:43,1002,9,BATCH_DATA,24.54,64.22,0,0,0,165
2025-12-12 06:02:43,1002,10,BATCH_DATA,24.29,50.15,0,0,0,165
2025-12-12 06:02:48,1002,11,BATCH_DATA,19.66,46.12,0,0,0,115
2025-12-12 06:02:48,1002,12,BATCH_DATA,21.17,45.22,0,0,0,115
2025-12-12 06:02:48,1002,13,BATCH_DATA,23.11,54.97,0,0,0,167
2025-12-12 06:02:48,1002,14,BATCH_DATA,24.99,62.42,0,0,0,167
2025-12-12 06:02:48,1002,15,BATCH_DATA,21.61,50.01,0,0,0,167
2025-12-12 06:02:53,1002,16,BATCH_DATA,20.25,45.51,0,0,0,115
2025-12-12 06:02:53,1002,17,BATCH_DATA,23.92,46.45,0,0,0,115
2025-12-12 06:02:53,1002,18,BATCH_DATA,24.29,52.65,0,0,0,165
